#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-24T03:22:08 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-24T03:22:08	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/199/26/table3&-out=RAJ2000,DEJ2000,cz&-out.max=50000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_21990026
#Name: J/ApJS/199/26
#Title: The 2MASS Redshift Survey (2MRS) (Huchra+, 2012)
#INFO	ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/199/26	    IVOID of underlying data collection
#INFO	creator=Huchra J.P.	    First author or institution
#INFO	cites=bibcode:2012ApJS..199...26H	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2012	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/199/26	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21990026	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-09-19	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_199_26_table3:
#Name: J/ApJS/199/26/table3
#Title: 2MRS catalog
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I5)	? Redshift, corrected to solar system barycenter reference frame	[ucd=phys.veloc;pos.heliocentric]
RAJ2000	DEJ2000	cz
deg	deg	km/s
---------	---------	-----
010.68471	+41.26875	 -300
011.88806	-25.28880	  243
148.88826	+69.06526	  -34
201.36565	-43.01871	  547
196.36366	-49.46790	  563
023.46210	+30.65994	 -179
148.96846	+69.67970	  203
056.70214	+68.09611	   31
204.25383	-29.86576	  513
189.99789	-11.62307	 1024
010.67427	+40.86517	 -200
192.72145	+41.12015	  308
194.18207	+21.68266	  408
308.71805	+60.15368	   40
187.44499	+08.00041	  997
202.46957	+47.19526	  463
184.74008	+47.30372	  448
050.67412	-37.20820	 1760
198.95554	+42.02929	  484
040.66988	-00.01329	 1137
190.91670	+11.55261	 1117
049.32750	-41.10807	  788
166.45247	-00.03590	  801
010.09198	+41.68530	 -241
187.70593	+12.39110	 1307
151.30824	-07.71858	  663
170.06261	+12.99129	  727
210.80243	+54.34875	  246
035.63711	+42.34832	  528
061.94545	+69.81243	  895
339.26709	+34.41592	  816
143.04213	+21.50083	  556
169.73315	+13.09221	  807
189.08669	+25.98739	 1230
140.51106	+50.97648	  638
287.44208	-63.85754	  841
170.07091	+13.58949	  825
186.35022	+18.19108	  729
145.63867	-03.69914	 1919
186.54922	+12.94597	 -244
040.10005	+39.06325	  637
187.99673	+14.42041	 2281
138.08124	-24.17260	  686
186.26575	+12.88696	 1060
064.04361	-55.78014	 1201
161.95667	+12.58163	  911
133.17227	+33.42180	  411
192.61089	+25.50076	 1206
202.49829	+47.26613	  465
161.69060	+11.81994	  897
041.57941	-30.27491	 1271
054.62118	-35.45074	 1425
114.21415	+65.60255	  131
192.14961	-05.80085	 1241
197.73463	+37.05894	  946
192.25911	-08.66435	 1277
188.51262	+07.69914	  448
003.72334	-39.19663	  129
183.97685	+13.14940	  131
053.40191	-36.14066	 1664
146.41164	-31.19109	 1088
189.43166	+11.81809	 1517
177.75743	-28.80621	 1807
190.53337	+32.54151	  606
190.70778	+02.68778	  938
054.71721	-26.33784	 1297
076.92643	-37.51305	  968
189.20757	+13.16287	 -235
169.56792	-32.81260	  720
129.35260	-55.12374	 1051
168.32129	-26.75499	 1367
186.11761	+07.31752	 1243
131.28436	-33.79476	 2102
185.72874	+15.82238	 1571
228.97369	+56.32885	  667
160.99055	+11.70361	  756
193.09213	-01.19969	 1239
055.04960	-18.58038	 1779
188.91618	+12.55604	  340
162.07040	+12.62930	  704
190.50967	+11.64693	  410
063.01806	-32.87421	 1040
128.34517	-22.97367	 1693
186.86066	+11.10754	  916
063.93843	-55.59236	 1202
197.15636	-49.50641	 1453
009.74154	+48.33738	 -202
054.71632	-35.59439	 1873
331.96841	+31.35915	  952
007.59122	-33.24535	 1602
221.23335	+01.95474	 1724
344.29453	-36.46248	 1713
171.53577	+43.58592	  770
226.62317	+55.76331	  672
054.11496	-34.97630	 1855
259.24780	-62.82055	 1109
182.02507	+65.17413	 1356
209.03015	+05.25474	 1139
185.47896	+04.47359	 1566
038.86555	-09.35601	 1550
186.61293	+31.22352	  716
114.09934	-69.53082	 1466
183.45122	+14.90047	 -142
188.53540	+02.65381	 1736
054.62412	-23.02769	 1636
036.90609	-01.15628	 1340
065.00175	-54.93781	 1504
013.72283	-37.68438	  144
057.08638	+70.13288	 1200
076.31023	-37.98075	 1175
