x,y,z,r
3071427.8631020193,646582.9125870308,-1482928.7728821116,3471428.571428571
-5320618.531374839,-2081448.7454421236,-5331195.99979009,7814285.714285715
-5015118.96285552,-1472574.0400044022,-6112909.168760832,8042857.142857143
-862947.8063385941,519158.102617733,2719521.271845794,2900000.0
90697.91441867112,138085.61790235585,410887.69685671997,442857.14285714284
-5794343.871392269,-2610627.5317586963,-3649405.728903792,7328571.428571428
-14111008.941052973,-2487615.789676041,-2947252.3457101206,14628571.42857143
-3233293.7495164284,-729926.2573108479,2893616.9733097325,4400000.0
-5251093.946065984,-1326982.6988854015,2153456.3344556508,5828571.428571428
177880.1084129752,-221887.3799182251,495636.22739758575,571428.5714285714
-13985329.869547747,-1827545.206618291,1982323.5229242437,14242857.142857142
-4153215.887177551,-1717734.674344989,4852727.160396818,6614285.714285713
-4325073.225195549,-358631.88279153284,4703735.193369411,6400000.0
12690362.80318507,15490312.990507059,-15204215.227554087,25142857.142857146
-4857432.030296945,-1668332.978559223,4629186.330498322,6914285.714285715
12319833.795893885,10585465.94203617,-3767.5998359280547,16242857.142857144
-15350953.267512796,-2960768.181853593,3195699.2529377546,15957142.85714286
5527964.928023856,6433095.112337664,-7401361.789311338,11257142.857142858
-11124468.101916632,2680510.7042181534,-7169.78716478178,11442857.142857142
-18071801.492999054,-2445308.0405324306,4006582.618953936,18671428.57142857
-8233203.9321913775,4506008.642167619,-1272084.239086638,9471428.57142857
-9968054.701162396,1746407.8859677871,2334738.999321679,10385714.285714287
-1759364.4228717757,-1048892.822821847,2855637.3641270585,3514285.7142857146
4530648.164199288,3248066.1018292103,5081140.392464731,7542857.142857143
2075148.5513716554,3893838.8013909315,12000261.150260063,12785714.285714287
8993870.418932637,-3404405.3035390405,6588573.366710007,11657142.857142856
-5905290.240522132,4443151.251791895,2911173.94202595,7942857.142857143
-11049113.051556716,2001360.9618645129,2611439.116257014,11528571.428571427
-15596573.889783403,-2494450.4351846897,7699331.267567975,17571428.571428575
-4428836.570767119,3649415.5073550562,7080775.181132702,9114285.714285715
1586696.4978735475,-5050153.897492469,-10785239.96301275,12014285.714285715
-11284177.341673348,1975308.4080170535,2769216.4305761154,11785714.285714284
-9833082.237764653,-1094307.0200265145,3251204.8213014007,10414285.714285715
-22583196.930608742,15440660.292668916,-1768696.5099279096,27414285.714285713
5404702.693670521,4551190.329668417,5734619.026244316,9100000.0
-31252205.19148604,-4390392.154450099,8114980.154603002,32585714.28571429
-6652708.822822982,5973067.263550206,-4012970.5685237846,9800000.0
-14673259.225514425,-1611065.2651107437,3377285.1317869257,15142857.142857142
4223093.493408904,8675377.658460576,-14186995.97692967,17157142.85714286
-12077128.526734183,3934196.9911351614,2834906.213042633,13014285.714285715
-3352907.1044124523,3573948.119773134,3233973.137757692,5871428.571428571
-15175013.521865305,-3395045.898074262,7417297.447895831,17228571.42857143
-4164718.3557828995,-1724937.205749538,4879268.764234466,6642857.142857144
-11907592.714331627,3940227.1327935667,2624836.0442017512,12814285.714285715
11729817.61002705,10406683.80102535,-9153914.345003987,18157142.85714286
9601351.490358224,13520996.394630065,-11807199.979720816,20357142.85714286
-317052.6535852423,705008.4315526272,1704313.8279828175,1871428.5714285716
-17242724.867508285,-3712138.728923999,-1791845.4449514148,17728571.42857143
-10272104.843826722,-3285089.0291775223,8144198.580287443,13514285.714285713
-17623428.17923293,-3829355.660646101,-2748208.720310452,18242857.142857146
